YEAR,MONTH,HOUR,WEEKDAY,LATITUDE,LONGITUDE,VISIBILITY,LIGHT,ACCLASS,INJURY,PEDESTRIAN,CYCLIST
2011,8,23,3,43.65154538,-79.38349029,Clear,Dark,Non-Fatal Injury,None,1,0
2012,8,23,6,43.78044538,-79.30049029,Clear,"Dark, artificial",Non-Fatal Injury,Minimal,1,0
2015,12,23,2,43.68234213,-79.32826624,Clear,"Dark, artificial",Fatal,Fatal,1,0
2012,8,23,6,43.78044538,-79.30049029,Clear,"Dark, artificial",Non-Fatal Injury, ,1,0
2012,8,23,6,43.78044538,-79.30049029,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2012,8,23,6,43.78044538,-79.30049029,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2017,10,23,4,43.62520138,-79.52851529,Clear,"Dusk, artificial",Non-Fatal Injury,None,1,0
2017,10,23,4,43.62520138,-79.52851529,Clear,"Dusk, artificial",Non-Fatal Injury,Major,1,0
2009,2,23,3,43.66324538,-79.33019029,Clear,Dark,Non-Fatal Injury,None,1,0
2009,2,23,3,43.66324538,-79.33019029,Clear,Dark,Non-Fatal Injury,Major,1,0
2014,8,23,5,43.74635275,-79.48295222,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2014,8,23,5,43.74635275,-79.48295222,Clear,"Dark, artificial",Non-Fatal Injury,Minor,1,0
2014,8,23,5,43.74635275,-79.48295222,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2017,11,23,1,43.64025839,-79.38315211,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2017,11,23,1,43.64025839,-79.38315211,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2017,11,23,1,43.64025839,-79.38315211,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2008,5,23,6,43.71454538,-79.45479029,Clear,Dark,Non-Fatal Injury, ,0,0
2008,5,23,6,43.71454538,-79.45479029,Clear,Dark,Non-Fatal Injury,Major,0,0
2008,5,23,6,43.71454538,-79.45479029,Clear,Dark,Non-Fatal Injury,Minor,0,0
2008,5,23,6,43.71454538,-79.45479029,Clear,Dark,Non-Fatal Injury, ,0,0
2009,3,23,3,43.71114538,-79.24819029,Clear,Dark,Non-Fatal Injury,None,1,0
2009,3,23,3,43.71114538,-79.24819029,Clear,Dark,Non-Fatal Injury,Major,1,0
2009,9,23,2,43.66174538,-79.38989029,Clear,Dark,Non-Fatal Injury,Major,0,0
2009,12,23,5,43.77384538,-79.44299029,Clear,Dark,Non-Fatal Injury,Major,1,0
2009,12,23,5,43.77384538,-79.44299029,Clear,Dark,Non-Fatal Injury,None,1,0
2010,2,23,5,43.63084538,-79.48209029,Clear,Dark,Non-Fatal Injury,Major,1,0
2010,2,23,5,43.63084538,-79.48209029,Clear,Dark,Non-Fatal Injury,Major,1,0
2010,2,23,5,43.63084538,-79.48209029,Clear,Dark,Non-Fatal Injury,None,1,0
2014,8,23,5,43.66671713,-79.44645319,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2014,8,23,5,43.66671713,-79.44645319,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2015,6,23,5,43.67471274,-79.3965951,Clear,"Dark, artificial",Fatal,Fatal,0,1
2015,6,23,5,43.67471274,-79.3965951,Clear,"Dark, artificial",Fatal,None,0,1
2008,4,23,0,43.73464538,-79.60099029,Clear,Dark,Non-Fatal Injury,Major,0,0
2008,4,23,0,43.73464538,-79.60099029,Clear,Dark,Non-Fatal Injury,Major,0,0
2008,4,23,0,43.73464538,-79.60099029,Clear,Dark,Non-Fatal Injury,Minimal,0,0
2008,4,23,0,43.73464538,-79.60099029,Clear,Dark,Non-Fatal Injury,None,0,0
2008,4,23,0,43.73464538,-79.60099029,Clear,Dark,Non-Fatal Injury,Major,0,0
2008,4,23,0,43.73464538,-79.60099029,Clear,Dark,Non-Fatal Injury,Major,0,0
2008,4,23,0,43.73464538,-79.60099029,Clear,Dark,Non-Fatal Injury, ,0,0
2008,4,23,0,43.73464538,-79.60099029,Clear,Dark,Non-Fatal Injury,None,0,0
2008,6,23,4,43.76914538,-79.34659029,Rain,Dark,Non-Fatal Injury,Minimal,1,0
2008,6,23,4,43.76914538,-79.34659029,Rain,Dark,Non-Fatal Injury,Major,1,0
2012,3,23,5,43.70874538,-79.24979029,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2012,3,23,5,43.70874538,-79.24979029,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2014,5,23,0,43.7603298,-79.36165247,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,1
2014,5,23,0,43.7603298,-79.36165247,Clear,"Dark, artificial",Non-Fatal Injury,None,0,1
2015,7,23,4,43.75361212,-79.58708582,Clear,Dark,Non-Fatal Injury,None,0,0
